genus_species,AUTHOR,COMMON.NAME,ORDER,SubOrder,FAMILY,Year,Intentional_Release,Host_Group,ORIGIN,PHAGY,Source,eradicated
Eriosoma lanigerum,"NA",Woolly aphis of apple trees,Hemiptera,"NA",Aphididae,1922,"NA","NA",Nearctic,"NA",Foottit (2012) Aphids (Hemiptera: Aphididae and Adelgidae) of Hawaii: Annotated List and Key to Species of an Adventive Fauna. Pacific Science. 66:1-30,NA
Eulophus sp.,-,"NA",Hymenoptera,"NA",Eulophidae,1922,"NA","NA","NA","NA",Nishida(2002),NA
Exillis lepidus,Jordan,"NA",Coleoptera,"NA",Anthribidae,1922,"NA","NA",Palearctic(Europe),"NA",Jordan (1922) Entomologist (London) 55: 152.,NA
Gibbium psylloides,(Czempinski),"NA",Coleoptera,"NA",Ptinidae,1922,"NA","NA",Palearctic(Europe),"NA",Swezey (1922) Proceedings of the Hawaiian Entomological Society 5(1): 38.,NA
Hamaxas nigrorufus,(Burr),"NA",Dermaptera,"NA",Chelisochidae,1922,"NA","NA",Indomalaya,"NA",Hebard (1922) Occasional Papers of the Bernice P. Bishop Museum 7(14): 323. Nishida(2002),NA
Hydrovatus confertus,Sharp,"NA",Coleoptera,"NA",Dytiscidae,1922,"NA","NA",Indomalaya,"NA",Swezey (1922) Proceedings of the Hawaiian Entomological Society 5(1): 38.,NA
Hyperaspis silvestrii,(Mulsant),"NA",Coleoptera,"NA",Coccinellidae,1922,I,"NA",Neotropic,"NA","Swezey (1923) Proceedings of the Hawaiian Entomological Society 5(2): 300. Funasaki et al (1988) A review of biological control introductions in Hawaii: 1890 to 1985. Proceedings of Hawaii Entomological Society 28: 105-160
Fullaway (1923) Notes on Mealy-Bugs of Economic Importance in Hawaii. Proc. Haw. Ent. Soc 2: 305-321",NA
Lithocharis ochracea,(Gravenhorst),"NA",Coleoptera,"NA",Staphylinidae,1922,"NA","NA",Palearctic(Europe),"NA",Swezey (1922) Proceedings of the Hawaiian Entomological Society 5(1): 38. Nishida(2002),NA
Lophocateres pusillus,(Klug),Beetle,Coleoptera,"NA",Trogossitidae,1922,"NA","NA","NA","NA",Bryan (1915) (as Lophocateres pusillus) Natural History of Hawaii p. 405. Nishida(2002),NA
Modicogryllus conspersus,(Schaum),"NA",Orthoptera,"NA",Gryllidae,1922,"NA","NA",Afrotropic,"NA",Nishida(2002),NA
Monopis meliorella,(Walker),"NA",Lepidoptera,"NA",Tineidae,1922,"NA","NA",Australasia,"NA",Nishida(2002),NA
Motes subtessallatus,(Smith),Crabronid wasp,Hymenoptera,"NA",Sphecidae,1922,I,"NA","NA","NA",Funasaki et al (1988) A review of biological control introductions in Hawaii: 1890 to 1985. Proceedings of Hawaii Entomological Society 28: 105-160,NA
Myrmecophila quadrispina,Perkins,"NA",Orthoptera,"NA",Gryllidae,1922,"NA","NA","NA","NA",Nishida(2002),NA
Neosorius rufipes,Motschulsky,syn (Osorius rufipes),Coleoptera,"NA",Staphylinidae,1922,"NA","NA",Indomalaya,"NA",Swezey (1922) Proceedings of the Hawaiian Entomological Society 5(1): 38. Nishida(2002),NA
Paralabella curvicauda,(Motschulsky),Earwig,Dermaptera,"NA",Spongiphoridae,1922,"NA","NA",Indomalaya,"NA",Hebard (1922) (as Labia curvicauda) Occasional Papers of the Bernice P. Bishop Museum 7(14): 318. Nishida(2002),NA
Perigona nigriceps,(Dejean),California maple aphid (Australia),Coleoptera,"NA",Carabidae,1922,"NA","NA",Indomalaya Australasia,"NA",Swezey (1922) Proceedings of the Hawaiian Entomological Society 5(1): 38.,NA
Philonthus sp.,-,"NA",Coleoptera,"NA",Staphylinidae,1922,"NA","NA","NA","NA",Swezey (1922) Proceedings of the Hawaiian Entomological Society 5(1): 38. Nishida(2002),NA
Platydema subfascia,(Walker),"NA",Coleoptera,"NA",Tenebrionidae,1922,"NA","NA",Indomalaya Australasia,"NA","Swezey (1922) Proceedings of the Hawaiian Entomological Society 5(1): 38. Nishida(2002)
French Polynesia Coleoptera Checklist http://www.docstoc.com/docs/30309381/French-Polynesia-Coleoptera-Checklist",NA
Pseudaphycus utilis,Timberlake,"NA",Hymenoptera,"NA",Encyrtidae,1922,I,"NA",Neotropic,"NA","Funasaki et al (1988) A review of biological control introductions in Hawaii: 1890 to 1985. Proceedings of Hawaii Entomological Society 28: 105-160
Imms (1926) The biological control of insect pests and injurious plants in the Hawaiian Islands. Annals of Applied Biology, 13(3): 402-423.",NA
Ptinus clavipes,Panzer,syn (Ptinus brunneus),Coleoptera,"NA",Ptinidae,1922,"NA","NA","NA","NA",Timberlake (1922) Proceedings of the Hawaiian Entomological Society 5(1): 16.,NA
Rhopalosiphum maidis,(Fitch),Corn aphid :  corn leaf aphid:corn aphid:cereal leaf aphid,Hemiptera,"NA",Aphididae,1922,"NA","NA",Palearctic(Asia),"NA",Nishida(2002),NA
Scymnus sp.,-,"NA",Coleoptera,"NA",Coccinellidae,1922,"NA","NA","NA","NA",Swezey (1922) Proceedings of the Hawaiian Entomological Society 5(1): 38.,NA
Scymnus uncinatus,Sicard,"NA",Coleoptera,"NA",Coccinellidae,1922,I,"NA",Neotropic,"NA","Swezey in Williams (1931) Handbook of Insects in Sugar Cane Fields p. 374. 
Funasaki et al (1988) A review of biological control introductions in Hawaii: 1890 to 1985. Proceedings of Hawaii Entomological Society 28: 105-160
Leeper (1975) A review of the Hawaiian Coccinellidae.",NA
Silvanus bidentatus,(Fabricius),"NA",Coleoptera,"NA",Silvanidae,1922,"NA","NA",Palearctic(Europe),"NA",Swezey (1922) Proceedings of the Hawaiian Entomological Society 5(1): 38. Nishida(2002),NA
Silvanus planatus,Germar,"NA",Coleoptera,"NA",Silvanidae,1922,"NA","NA",Nearctic),"NA",Swezey (1922) Proceedings of the Hawaiian Entomological Society 5(1): 38. Nishida(2002),NA
Spirolabia dubronyi,(Hebard),"NA",Dermaptera,"NA",Labiidae,1922,"NA","NA","NA","NA",Hebard (1922) (as Labia dubronyi) Occasional Papers of the Bernice P. Bishop Museum 7(14): 318. Nishida(2002),NA
Spirolabia pilicornis,(Motschulsky),"NA",Dermaptera,"NA",Labiidae,1922,"NA","NA",Cosmopolitan,"NA",Hebard (1922) (as Labia pilicornis) Occasional Papers of the Bernice P. Bishop Museum 7(14): 316. Nishida(2002),NA
Stenotrupis filum,(Fairmaire),"NA",Coleoptera,"NA",Curculionidae,1922,"NA","NA",Oceania,"NA",Muir (1922) (as Stenotrupis sp.) Proceedings of the Hawaiian Entomological Society 5(1): 2.,NA
Stethorus siphonulus,Kapur,"NA",Coleoptera,"NA",Coccinellidae,1922,I,"NA",Australasia,"NA",Swezey (1922) (as Stethorus vagans) Proceedings of the Hawaiian Entomological Society 5(1): 38. Funasaki et al (1988) A review of biological control introductions in Hawaii: 1890 to 1985. Proceedings of Hawaii Entomological Society 28: 105-160,NA
Supella longipalpa,(Fabricius),Brown-banded roach,Blattaria,"NA",Blattellidae,1922,"NA","NA",Afrotropic,"NA",Timberlake (1922) Proceedings of the Hawaiian Entomological Society 5(1): 18.,NA
Tamphilus amplicollis,(Fairmaire),"NA",Coleoptera,"NA",Curculionidae,1922,"NA","NA",Australasia,"NA","Swezey (1922) (as Imaliodes pusillus) Proceedings of the Hawaiian Entomological Society 5(1): 38. 
French Polynesia Coleoptera Checklist (http://www.docstoc.com/docs/30309381/French-Polynesia-Coleoptera-Checklist)",NA
Terastia subjectalis,Lederer,"NA",Lepidoptera,"NA",Pyralidae,1922,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Thaneroclerus buqueti,(Lefebvre),"NA",Coleoptera,"NA",Cleridae,1922,"NA","NA",Palearctic(Asia),"NA",Swezey (1922) Proceedings of the Hawaiian Entomological Society 4(2): 324.,NA
Xylophilus marquesanus,Blair,"NA",Coleoptera,"NA",Aderidae,1922,"NA","NA","NA","NA",Swezey (1922) (as Xylophilus sp.) Proceedings of the Hawaiian Entomological Society 5(1): 38.,NA
Carcinops lauta,(Zimmerman),"NA",Coleoptera,"NA",Histeridae,1921,"NA","NA",Nearctic,"NA",Fullaway (1921) Proceedings of the Hawaiian Entomological Society 4(3): 606.,NA
Casinaria infesta,(Cresson),"NA",Hymenoptera,"NA",Ichneumonidae,1921,"NA","NA",Nearctic,"NA",Beardsley (2000) New Distribution Records for Non-Endemic Hymenoptera (Insecta) in Hawaii. Bishop Museum Occasional Papers 63: 21â€“30,NA
Chalicodoma umbripennis,(F. Smith),Shadow-winged resin bee,Hymenoptera,"NA",Megachilidae,1921,"NA","NA",Indomalaya Palearctic(Asia),"NA",Nishida(2002),NA
Creophilus erythrocephalus,(Fabricius),"NA",Coleoptera,"NA",Staphylinidae,1921,I,"NA",Australasia,"NA",Fullaway (1921) (as Creophilus erythrocephala) Hawaiian Forester and Agriculturist  18(11): 247. Nishida(2002),NA
Cryptopleurum evansi,Balfour-Browne,"NA",Coleoptera,"NA",Hydrophilidae,1921,"NA","NA",Cosmopolitan,"NA",Fullaway (1921) (as Cryptopleurum minutus) Proceedings of the Hawaiian Entomological Society 4(3): 607.,NA
Cryptotermes cyanocephalus,Light,"NA",Isoptera,"NA",Kalotermitidae,1921,"NA","NA",Indomalaya,"NA",Nishida(2002),NA
Doryctes syagrii,(Fullaway),"NA",Hymenoptera,"NA",Braconidae,1921,I,"NA",Australasia,"NA","Funasaki et al (1988) A review of biological control introductions in Hawaii: 1890 to 1985. Proceedings of Hawaii Entomological Society 28: 105-160
Beardsley (1961) A Review of the Hawaiian Braconidae (Hymenoptera). Proc. Hawaii Entomol. Soc 17: 337-366",NA
Drosophila immigrans,Sturtevant,"NA",Diptera,"NA",Drosophilidae,1921,"NA","NA",Nearctic,"NA",Sturtevant (1921) Carnegie Institute of Washington Publication 301: 83. Nishida(2002),NA
Glyptocolastes bruchivorus,Crawford,"NA",Hymenoptera,"NA",Braconidae,1921,I,"NA",Nearctic,"NA","Funasaki et al (1988) A review of biological control introductions in Hawaii: 1890 to 1985. Proceedings of Hawaii Entomological Society 28: 105-160
Beardsley (1961) A Review of the Hawaiian Braconidae (Hymenoptera). Proc. Hawaii Entomol. Soc 17: 337-366",NA
Lariophagus texanus,Crawford,"NA",Hymenoptera,"NA",Pteromalidae,1921,I,"NA",Neotropic,"NA","Funasaki et al (1988) A review of biological control introductions in Hawaii: 1890 to 1985. Proceedings of Hawaii Entomological Society 28: 105-160
Howard (1922) Report [1921-22] of the Entomologist. United States Department of Agriculture.",NA
Liriomyza pusilla,(Meigen),"NA",Diptera,"NA",Agromyzidae,1921,"NA","NA",Nearctic,"NA","Timberlake et al. (1921) Proceedings of the Hawaiian Entomological Society 4(3): 609. Nishida(2002)
Frick (1957) Nearctic species in the Liriomyza pusilla complex. No. 2. L. munda and two other species attacking crops in California. Pan-Pacific Entomologist 33: 59-70.",NA
Megachile fullawayi,Cockerell,"NA",Hymenoptera,"NA",Megachilidae,1921,"NA","NA",Oceania,"NA",Nishida(2002),NA
Nipaecoccus nipae,(Maskell),Avocado mealybug,Hemiptera,"NA",Pseudococcidae,1921,"NA","NA",Neotropic,"NA",Nishida(2002),NA
Oxytelus sculptus,Gravenhorst,"NA",Coleoptera,"NA",Staphylinidae,1921,"NA","NA",Neotropic,"NA",Fullaway (1921) Proceedings of the Hawaiian Entomological Society 4(3): 607. Nishida(2002),NA
Pleistodontes froggatti,Mayr,"NA",Hymenoptera,"NA",Agaonidae,1921,I,"NA",Nearctic,"NA",Beardsley (2000) New Distribution Records for Non-Endemic Hymenoptera (Insecta) in Hawaii. Bishop Museum Occasional Papers 63: 21â€“30,NA
Psyttalia fletcheri,(Silvestri),syn (Opius fletcheri),Hymenoptera,"NA",Braconidae,1921,I,"NA",Indomalaya,"NA",Funasaki et al (1988) A review of biological control introductions in Hawaii: 1890 to 1985. Proceedings of Hawaii Entomological Society 28: 105-160,NA
Silaon sp.,-,"NA",Hymenoptera,"NA",Sphecidae,1921,"NA","NA","NA","NA",Nishida(2002),NA
Toxoptera aurantii,(Fonscolombe),Black citrus aphid :  black citrus aphid: papaya fruit fly,Hemiptera,"NA",Aphididae,1921,"NA","NA",Indomalaya,"NA",Foottit (2012) Aphids (Hemiptera: Aphididae and Adelgidae) of Hawaii: Annotated List and Key to Species of an Adventive Fauna. Pacific Science. 66:1-30,NA
Trogoderma anthrenoides,(Sharp),"NA",Coleoptera,"NA",Dermestidae,1921,"NA","NA",Nearctic Neotropic,"NA",Swezey (1921) (as Eucnocerus anthrenoides) Proceedings of the Hawaiian Entomological Society 4(3): 487.,NA
Urosigalphus bruchi,Crawford,"NA",Hymenoptera,"NA",Braconidae,1921,I,"NA",Nearctic,"NA","Beardsley (2000) New Distribution Records for Non-Endemic Hymenoptera (Insecta) in Hawaii. Bishop Museum Occasional Papers 63: 21â€“30
Funasaki et al (1988) A review of biological control introductions in Hawaii: 1890 to 1985. Proceedings of Hawaii Entomological Society 28: 105-160",NA
Vespula pensylvanica,(Saussure),Yellow jacket,Hymenoptera,"NA",Vespidae,1921,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Adelencyrtus extranea,(Timberlake),"NA",Hymenoptera,"NA",Encyrtidae,1920,"NA","NA","NA","NA",Nishida(2002),NA
Anagyrus antoninae,Timberlake,"NA",Hymenoptera,"NA",Encyrtidae,1920,"NA","NA",Palearctic(Asia),"NA",Nishida(2002),NA
Anagyrus sp.,-,"NA",Hymenoptera,"NA",Encyrtidae,1920,"NA","NA","NA","NA",Nishida(2002),NA
Anthomyia vicarians,Schiner,"NA",Diptera,"NA",Anthomyiidae,1920,"NA","NA",Australasia,"NA",Timberlake (1920) (as Anthomyid fly) Proceedings of the Hawaiian Entomological Society 4(2): 266. Nishida(2002),NA
Aphis middletonii,Thomas,"NA",Hemiptera,"NA",Aphididae,1920,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Apion sp.,-,"NA",Coleoptera,"NA",Apionidae,1920,I,"NA","NA","NA",Muir (1920) Proceedings of the Hawaiian Entomological Society 4(2): 248.,NA
Cercyon quisquilius,(Linnaeus),"NA",Coleoptera,"NA",Hydrophilidae,1920,I,"NA",Cosmopolitan,"NA",Fullaway (1921) Proceedings of the Hawaiian Entomological Society 4(3): 607.,NA
Coccus acutissimus,(Green),slender soft scale,Hemiptera,"NA",Coccidae,1920,"NA","NA",Palearctic(Asia),"NA","Nishida(2002)
Miller et al (2005) Introduced scale insects (Hemiptera: Coccidea) of the United States and their impact on U.S. Agriculture. Proceedings of Entomological Society of Washington 107: 123-158",NA
Cryptotermes brevis,(Walker),West Indian drywood termite,Isoptera,"NA",Kalotermitidae,1920,"NA","NA",Neotropic,"NA",Nishida(2002),NA
Diocalandra taitensis,(Guerin-Meneville),"NA",Coleoptera,"NA",Rhynchophoridae,1920,"NA","NA",Oceania,"NA",Swezey (1920) (as Calandra taitensis) Proceedings of the Hawaiian Entomological Society 4(2): 333-335.,NA
Elytroteinus subtruncatus,(Fairmaire),ginger weevil,Coleoptera,"NA",Curculionidae,1920,"NA","NA",Oceania,"NA",Marshall (1920) Bulletin of Entomological Research 11: 276.,NA
Eristalinus aeneus,(Scopoli),"NA",Diptera,"NA",Syrphidae,1920,"NA","NA",Palearctic(Europe),"NA",Osborn (1920) (as Eristalis aeneus) Proceedings of the Hawaiian Entomological Society 4(2): 329.  Nishida (2002),NA
Harmonia octomaculata,(Fabricius),syn (Harmonia arcuata),Coleoptera,"NA",Coccinellidae,1920,I,"NA",Oceania,"NA",Williams (1920) Proceedings of the Hawaiian Entomological Society 4(2): 332. Weber (1957) Recent Introductions for Biological Control in Hawaii-II. Proc. Hawaii. Entomol. Soc 16(1): 313-314,NA
Lepisma sp.,-,"NA",Thysanura,"NA",Lepismatidae,1920,"NA","NA","NA","NA",Nishida(2002),NA
Nesepyris ewa,Bridwell,"NA",Hymenoptera,"NA",Bethylidae,1920,"NA","NA","NA","NA",Nishida(2002),NA
Onthophagus sp.,-,"NA",Coleoptera,"NA",Scarabaeidae,1920,I,"NA","NA","NA",Williams (1920) Proceedings of the Hawaiian Entomological Society 4(2): 333.  Davis and Krauss (1964) Recent introductions for biological control in Hawaii â€”IX. Proc. Hawaiian Entomol. Soc. 18 (3): 391-398,NA
Pachyneuron eros,Girault,"NA",Hymenoptera,"NA",Pteromalidae,1920,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Plagiomerus hospes,Timberlake,"NA",Hymenoptera,"NA",Encyrtidae,1920,"NA","NA","NA","NA",Nishida(2002),NA
Pleurophorus micros,(Bates),"NA",Coleoptera,"NA",Scarabaeidae,1920,"NA","NA","NA","NA",Fullaway (1929) (as Psammodius nanus [misidentification]) Proceedings of the Hawaiian Entomological Society 4(3): 606. Nishida(2002),NA
Psychoda sp.,-,"NA",Diptera,"NA",Psychodidae,1920,"NA","NA","NA","NA",Bridwell (1920) (as psychodid) Proceedings of the Hawaiian Entomological Society 4(2): 248.  Nishida(2002).,NA
Reticulaphis distylii,(Takahashi),"NA",Hemiptera,"NA",Aphididae,1920,"NA","NA",Indomalaya,"NA",Nishida(2002),NA
Stator limbatus,(Horn),drugstore beetle: Pruinose bean weevil,Coleoptera,"NA",Chrysomelidae,1920,"NA","NA",Neotropic,"NA",Swezey (1920) (as bruchid) Proceedings of the Hawaiian Entomological Society 4(2): 324.,NA
Stenommatus musae,Marshall,"NA",Coleoptera,"NA",Rhynchophoridae,1920,"NA","NA",Oceania,"NA",Swezey (1921) (as ?Dryopththorus sp.) Proceedings of the Hawaiian Entomological Society 4(3): 457.,NA
Tytthus mundulus,(Breddin),Citrus Snow Scale,Hemiptera,"NA",Miridae,1920,I,"NA",Indomalaya Oceania,"NA","Nishida(2002)
Funasaki et al (1988) A review of biological control introductions in Hawaii: 1890 to 1985. Proceedings of Hawaii Entomological Society 28: 105-160
http://species-id.net/wiki/Tytthus_mundulus",NA
Uroplata girardi,Pic,"NA",Coleoptera,"NA",Chrysomelidae,1920,I,"NA",Neotropic,"NA","Hawaiian Entomological Society (1962) Cooperative Economic Insect Report 12: 1254. Funasaki et al (1988) A review of biological control introductions in Hawaii: 1890 to 1985. Proceedings of Hawaii Entomological Society 28: 105-160
Alan Fletcher Research Station (2003) lantana biocontrol The State of Queensland (Department of Natural Resources and Mines) QNRM03109",NA
Xiphidiopsis lita,Hebard,"NA",Orthoptera,"NA",Tettigoniidae,1920,"NA","NA",Oceania,"NA","Nishida(2002)
Hebard (1933) The Dermaptera and Orthoptera of the Marquesas Islands. Bulletin BP Bishop Museum: 114(8) 105-140.",NA
Adelencyrtus odonaspidis,Fullaway,"NA",Hymenoptera,"NA",Encyrtidae,1919,"NA","NA",Palearctic(Asia),"NA",Nishida(2002),NA
Amblyteles sp.,-,"NA",Hymenoptera,"NA",Ichneumonidae,1919,"NA","NA","NA","NA",Nishida(2002),NA
Anagyrus fusciventris,(Girault),"NA",Hymenoptera,"NA",Encyrtidae,1919,I,"NA",Australasia,"NA","Nishida(2002)
Funasaki et al (1988) A review of biological control introductions in Hawaii: 1890 to 1985. Proceedings of Hawaii Entomological Society 28: 105-160
",NA
Anagyrus swezeyi,Timberlake,"NA",Hymenoptera,"NA",Encyrtidae,1919,"NA","NA","NA","NA",Nishida(2002),NA
Anicetus annulatus,Timberlake,"NA",Hymenoptera,"NA",Encyrtidae,1919,"NA","NA",Palearctic(Asia) Australasia,"NA",Nishida(2002),NA
Anthomyia illocata,"NA",Fly,Diptera,"NA",Anthomyiidae,1919,"NA","NA","NA","NA",Hardy (1981),NA
Callosobruchus phaseoli,(Gyllenhal),"NA",Coleoptera,"NA",Chrysomelidae,1919,"NA","NA","NA","NA",Bridwell (1919) (as Pachymerus phaseoli) Proceedings of the Hawaiian Entomological Society 4(1): 17.,NA
Cephalonomia sp.,-,"NA",Hymenoptera,"NA",Bethylidae,1919,"NA","NA","NA","NA",Nishida(2002),NA
Cheiloneurus americanus,(Perkins),"NA",Hymenoptera,"NA",Encyrtidae,1919,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Chrysopa sp.,-,"NA",Neuroptera,"NA",Chrysopidae,1919,"NA","NA","NA","NA",Nishida(2002),NA
Chrysoperla externa,"NA",Green lacewing,Neuroptera,"NA",Chrysopidae,1919,"NA","NA","NA","NA",Zimmerman (1957),NA
Coccidoctonus whittieri,(Girault),"NA",Hymenoptera,"NA",Encyrtidae,1919,"NA","NA",Palearctic(Asia) Australasia,"NA",Nishida(2002),NA
Encyrtus lecaniorum,(Mayr),"NA",Hymenoptera,"NA",Encyrtidae,1919,"NA","NA",Australasia,"NA",Nishida(2002),NA
Goniozus emigratus,(Rohwer),"NA",Hymenoptera,"NA",Bethylidae,1919,"NA","NA",Nearctic,"NA","Nishida(2002)
Gordon (1981) Goniozus emigratus (Rohwer) a Primary External Parasite of Paramyelois transitella (Walker) and Comments on Bethylids Attacking Lepidoptera (Hymenoptera: Bethylidae; Lepidoptera:Pyralidae). J. Kansas Entomol. Soc. 54: 787-803",NA
